"Source","Target","Weight"
"aceofbase","viral",2
"bigode","viral",2
"brasil","estelionato",2
"brasil","funk",2
"brasil","tropado7",2
"buzeira","estelionato",2
"buzeira","viral",2
"cartaoclonado","raul",2
"cc","ruyter",2
"crime","policia",2
"dinheiro","laranja",2
"dinheiro","mckelvinho",2
"dinheiro","meme",2
"dinheiro","ninoabravanel",2
"dinheiro","policia",2
"dinheiro","ruyter",2
"dinheiroonline","viral",2
"direito","estelionato",2
"direito","fyp",2
"direito","raul",2
"estelionatario","happynation",2
"estilo","midia",2
"estilo","milionario",2
"explore","status",2
"explore","tropado7",2
"frases","motivational",2
"funk","midia",2
"funk","tiktok",2
"golpe","humor",2
"golpe","laranja",2
"happynation","ninoabravanel",2
"happynation","tropado7",2
"laranja","viral",2
"mckelvinho","mulherdepreso",2
"mckelvinho","musica",2
"meme","tropado7",2
"milionario","motivational",2
"milionario","musica",2
"motivational","rico",2
"mulherdepreso","ninoabravanel",2
"mulherdepreso","rico",2
"musica","status",2
"musica","tiktok",2
"musica","tropado7",2
"policia","trending",2
"policia","viral",2
"ruyter","tropado7",2
"trending","tropado7",2
"171","direito",1
"171","estilo",1
"171","policia",1
"171","rico",1
"171","sucesso",1
"7","buzeira",1
"7","casa",1
"7","frases",1
"7","funk",1
"7","laranja",1
"7","milionario",1
"7","rico",1
"777","buzeira",1
"777","cartaoclonado",1
"777","dinheiroonline",1
"777","mckelvinho",1
"777","meme",1
"777","midia",1
"777","musica",1
"aceofbase","trending",1
"bigode","cartaoclonado",1
"bigode","cc",1
"bigode","explore",1
"bigode","funk",1
"bigode","mckelvinho",1
"bilionario","estilo",1
"bilionario","milionario",1
"bilionario","motivational",1
"bilionario","rico",1
"brasil","dinheiro",1
"brasil","estilo",1
"brasil","explore",1
"brasil","milionario",1
"brasil","musica",1
"brasil","viral",1
"buzeira","dinheiro",1
"buzeira","explore",1
"buzeira","funk",1
"buzeira","ninoabravanel",1
"buzeira","raul",1
"cartaoclonado","dinheiro",1
"cartaoclonado","luxo",1
"cartaoclonado","trending",1
"casa","estilo",1
"casa","musica",1
"cc","funk",1
"cc","mckelvinho",1
"cc","meme",1
"cc","mulherdepreso",1
"cc","trending",1
"crime","direito",1
"crime","estelionatario",1
"crime","happynation",1
"crime","musica",1
"crime","raul",1
"crime","viral",1
"dinheiroonline","golpe",1
"estelionatario","humor",1
"estelionatario","laranja",1
"estelionatario","mulherdepreso",1
"estelionatario","trending",1
"estelionato","humor",1
"estelionato","midia",1
"estelionato","musica",1
"estelionato","policia",1
"estelionato","status",1
"estelionato","trending",1
"estilo","explore",1
"estilo","mulherdepreso",1
"estilo","rico",1
"estilo","ruyter",1
"estilo","sucesso",1
"estilo","tiktok",1
"explore","happynation",1
"explore","humor",1
"explore","luxo",1
"explore","midia",1
"explore","sucesso",1
"explore","trending",1
